id,name,icao,iata,base,handler,taxi_in_minutes,taxi_out_minutes,callsign_parameters,aircraft_types,load_factor,containers,delete
,Keflavik International Airport,BIKF,KEF,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Brussels Airport,EBBR,BRU,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Stuttgart Airport,EDDS,STR,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Cologne Bonn Airport,EDDK,CGN,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Düsseldorf Airport,EDDL,DUS,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Berlin Brandenburg Airport,EDDB,BER,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Hamburg Helmut Schmidt Airport,EDDH,HAM,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Frankfurt am Main Airport,EDDF,FRA,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Hannover Airport,EDDV,HAJ,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Nuremberg Airport,EDDN,NUE,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Munich Airport,EDDM,MUC,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Leipzig/Halle Airport,EDDP,LEJ,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Lennart Meri Tallinn Airport,EETN,TLL,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Helsinki Vantaa Airport,EFHK,HEL,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Birmingham International Airport,EGBB,BHX,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Manchester Airport,EGCC,MAN,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,Belfast International Airport,EGAA,BFS,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,London Heathrow Airport,EGLL,LHR,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,London Gatwick Airport,EGKK,LGW,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
,London Luton Airport,EGGW,LTN,FALSE,,,,DKH,Boeing 738,AIRBUS A319,McDonnell Douglas MD-11,Bombardier Challenger 650,AIRBUS A340-600,AIRBUS A320,AIRBUS A320 Neo,AIRBUS A321,BOEING B787,Boeing 737 MAX,,,no
